"","X","location","country","ipc","technology_domain","year","value"
"12882",12882,"MEX","Mexico","WIPO_07","IT methods for management",1999,0
"12883",12883,"MEX","Mexico","WIPO_07","IT methods for management",2000,2.1667
"12884",12884,"MEX","Mexico","WIPO_07","IT methods for management",2001,4.2917
"12885",12885,"MEX","Mexico","WIPO_07","IT methods for management",2002,3.5889
"12886",12886,"MEX","Mexico","WIPO_07","IT methods for management",2003,1.3333
"12887",12887,"MEX","Mexico","WIPO_07","IT methods for management",2004,1.0833
"12888",12888,"MEX","Mexico","WIPO_07","IT methods for management",2005,3.75
"12889",12889,"MEX","Mexico","WIPO_07","IT methods for management",2006,1.2222
"12890",12890,"MEX","Mexico","WIPO_07","IT methods for management",2007,4.5833
"12891",12891,"MEX","Mexico","WIPO_07","IT methods for management",2008,3.2083
"12892",12892,"MEX","Mexico","WIPO_07","IT methods for management",2009,1.0694
"12893",12893,"MEX","Mexico","WIPO_07","IT methods for management",2010,3.9583
"12894",12894,"MEX","Mexico","WIPO_07","IT methods for management",2011,3.4975
"12895",12895,"MEX","Mexico","WIPO_07","IT methods for management",2012,6.648
"12896",12896,"MEX","Mexico","WIPO_07","IT methods for management",2013,5.0931
"12897",12897,"MEX","Mexico","WIPO_07","IT methods for management",2014,7.106
"12898",12898,"MEX","Mexico","WIPO_07","IT methods for management",2015,11.2643
"12899",12899,"MEX","Mexico","WIPO_07","IT methods for management",2016,6.5235
"12900",12900,"MEX","Mexico","WIPO_07","IT methods for management",2017,6.4025
"12901",12901,"MEX","Mexico","WIPO_07","IT methods for management",2018,2.819
"12902",12902,"NLD","Netherlands","WIPO_07","IT methods for management",1999,0.5333
"12903",12903,"NLD","Netherlands","WIPO_07","IT methods for management",2000,2.4222
"12904",12904,"NLD","Netherlands","WIPO_07","IT methods for management",2001,14.9192
"12905",12905,"NLD","Netherlands","WIPO_07","IT methods for management",2002,25.3322
"12906",12906,"NLD","Netherlands","WIPO_07","IT methods for management",2003,14.6583
"12907",12907,"NLD","Netherlands","WIPO_07","IT methods for management",2004,21.7464
"12908",12908,"NLD","Netherlands","WIPO_07","IT methods for management",2005,22.9245
"12909",12909,"NLD","Netherlands","WIPO_07","IT methods for management",2006,15.8099
"12910",12910,"NLD","Netherlands","WIPO_07","IT methods for management",2007,16.1986
"12911",12911,"NLD","Netherlands","WIPO_07","IT methods for management",2008,16.0463
"12912",12912,"NLD","Netherlands","WIPO_07","IT methods for management",2009,16.9861
"12913",12913,"NLD","Netherlands","WIPO_07","IT methods for management",2010,21.3624
"12914",12914,"NLD","Netherlands","WIPO_07","IT methods for management",2011,30.1984
"12915",12915,"NLD","Netherlands","WIPO_07","IT methods for management",2012,19.4464
"12916",12916,"NLD","Netherlands","WIPO_07","IT methods for management",2013,33.4167
"12917",12917,"NLD","Netherlands","WIPO_07","IT methods for management",2014,20.4114
"12918",12918,"NLD","Netherlands","WIPO_07","IT methods for management",2015,15.6043
"12919",12919,"NLD","Netherlands","WIPO_07","IT methods for management",2016,15.7855
"12920",12920,"NLD","Netherlands","WIPO_07","IT methods for management",2017,15.3596
"12921",12921,"NLD","Netherlands","WIPO_07","IT methods for management",2018,9.6073
"12922",12922,"NZL","New Zealand","WIPO_07","IT methods for management",1999,0
"12923",12923,"NZL","New Zealand","WIPO_07","IT methods for management",2000,0.5
"12924",12924,"NZL","New Zealand","WIPO_07","IT methods for management",2001,3.4889
"12925",12925,"NZL","New Zealand","WIPO_07","IT methods for management",2002,7.6083
"12926",12926,"NZL","New Zealand","WIPO_07","IT methods for management",2003,15.7333
"12927",12927,"NZL","New Zealand","WIPO_07","IT methods for management",2004,4.4384
"12928",12928,"NZL","New Zealand","WIPO_07","IT methods for management",2005,6.4913
"12929",12929,"NZL","New Zealand","WIPO_07","IT methods for management",2006,10.3722
"12930",12930,"NZL","New Zealand","WIPO_07","IT methods for management",2007,9.1817
"12931",12931,"NZL","New Zealand","WIPO_07","IT methods for management",2008,10.269
"12932",12932,"NZL","New Zealand","WIPO_07","IT methods for management",2009,7.8183
"12933",12933,"NZL","New Zealand","WIPO_07","IT methods for management",2010,6.2639
"12934",12934,"NZL","New Zealand","WIPO_07","IT methods for management",2011,6.05
"12935",12935,"NZL","New Zealand","WIPO_07","IT methods for management",2012,9.3473
"12936",12936,"NZL","New Zealand","WIPO_07","IT methods for management",2013,11.6979
"12937",12937,"NZL","New Zealand","WIPO_07","IT methods for management",2014,15.5325
"12938",12938,"NZL","New Zealand","WIPO_07","IT methods for management",2015,10.3582
"12939",12939,"NZL","New Zealand","WIPO_07","IT methods for management",2016,12.5831
"12940",12940,"NZL","New Zealand","WIPO_07","IT methods for management",2017,9.4534
"12941",12941,"NZL","New Zealand","WIPO_07","IT methods for management",2018,5.7167
"12942",12942,"NOR","Norway","WIPO_07","IT methods for management",1999,0
"12943",12943,"NOR","Norway","WIPO_07","IT methods for management",2000,0
"12944",12944,"NOR","Norway","WIPO_07","IT methods for management",2001,2.5
"12945",12945,"NOR","Norway","WIPO_07","IT methods for management",2002,2.4786
"12946",12946,"NOR","Norway","WIPO_07","IT methods for management",2003,3.5333
"12947",12947,"NOR","Norway","WIPO_07","IT methods for management",2004,2.9583
"12948",12948,"NOR","Norway","WIPO_07","IT methods for management",2005,4.1056
"12949",12949,"NOR","Norway","WIPO_07","IT methods for management",2006,2.3333
"12950",12950,"NOR","Norway","WIPO_07","IT methods for management",2007,2.0437
"12951",12951,"NOR","Norway","WIPO_07","IT methods for management",2008,2.5833
"12952",12952,"NOR","Norway","WIPO_07","IT methods for management",2009,3.2833
"12953",12953,"NOR","Norway","WIPO_07","IT methods for management",2010,3.175
"12954",12954,"NOR","Norway","WIPO_07","IT methods for management",2011,6.056
"12955",12955,"NOR","Norway","WIPO_07","IT methods for management",2012,3.8167
"12956",12956,"NOR","Norway","WIPO_07","IT methods for management",2013,8.1372
"12957",12957,"NOR","Norway","WIPO_07","IT methods for management",2014,11.1165
"12958",12958,"NOR","Norway","WIPO_07","IT methods for management",2015,7.2401
"12959",12959,"NOR","Norway","WIPO_07","IT methods for management",2016,6.9037
"12960",12960,"NOR","Norway","WIPO_07","IT methods for management",2017,8.7722
"12961",12961,"NOR","Norway","WIPO_07","IT methods for management",2018,3.6163
"12962",12962,"POL","Poland","WIPO_07","IT methods for management",1999,0
"12963",12963,"POL","Poland","WIPO_07","IT methods for management",2000,0
"12964",12964,"POL","Poland","WIPO_07","IT methods for management",2001,1.5
"12965",12965,"POL","Poland","WIPO_07","IT methods for management",2002,0
"12966",12966,"POL","Poland","WIPO_07","IT methods for management",2003,1
"12967",12967,"POL","Poland","WIPO_07","IT methods for management",2004,0.7833
"12968",12968,"POL","Poland","WIPO_07","IT methods for management",2005,0.3667
"12969",12969,"POL","Poland","WIPO_07","IT methods for management",2006,1.65
"12970",12970,"POL","Poland","WIPO_07","IT methods for management",2007,0
"12971",12971,"POL","Poland","WIPO_07","IT methods for management",2008,7.3889
"12972",12972,"POL","Poland","WIPO_07","IT methods for management",2009,3.9045
"12973",12973,"POL","Poland","WIPO_07","IT methods for management",2010,2.5083
"12974",12974,"POL","Poland","WIPO_07","IT methods for management",2011,2.0667
"12975",12975,"POL","Poland","WIPO_07","IT methods for management",2012,2.1167
"12976",12976,"POL","Poland","WIPO_07","IT methods for management",2013,4.33
"12977",12977,"POL","Poland","WIPO_07","IT methods for management",2014,10.0317
"12978",12978,"POL","Poland","WIPO_07","IT methods for management",2015,6.675
"12979",12979,"POL","Poland","WIPO_07","IT methods for management",2016,7.5328
"12980",12980,"POL","Poland","WIPO_07","IT methods for management",2017,5.0984
"12981",12981,"POL","Poland","WIPO_07","IT methods for management",2018,3.9976
"12982",12982,"PRT","Portugal","WIPO_07","IT methods for management",1999,0
"12983",12983,"PRT","Portugal","WIPO_07","IT methods for management",2000,0
"12984",12984,"PRT","Portugal","WIPO_07","IT methods for management",2001,0.1333
"12985",12985,"PRT","Portugal","WIPO_07","IT methods for management",2002,0
"12986",12986,"PRT","Portugal","WIPO_07","IT methods for management",2003,0
"12987",12987,"PRT","Portugal","WIPO_07","IT methods for management",2004,3
"12988",12988,"PRT","Portugal","WIPO_07","IT methods for management",2005,0.2467
"12989",12989,"PRT","Portugal","WIPO_07","IT methods for management",2006,1
"12990",12990,"PRT","Portugal","WIPO_07","IT methods for management",2007,1
"12991",12991,"PRT","Portugal","WIPO_07","IT methods for management",2008,1.3636
"12992",12992,"PRT","Portugal","WIPO_07","IT methods for management",2009,1.4472
"12993",12993,"PRT","Portugal","WIPO_07","IT methods for management",2010,3.5
"12994",12994,"PRT","Portugal","WIPO_07","IT methods for management",2011,1.3333
"12995",12995,"PRT","Portugal","WIPO_07","IT methods for management",2012,7
"12996",12996,"PRT","Portugal","WIPO_07","IT methods for management",2013,4.0611
"12997",12997,"PRT","Portugal","WIPO_07","IT methods for management",2014,1.7057
"12998",12998,"PRT","Portugal","WIPO_07","IT methods for management",2015,1.6427
"12999",12999,"PRT","Portugal","WIPO_07","IT methods for management",2016,2.2457
"13000",13000,"PRT","Portugal","WIPO_07","IT methods for management",2017,3.9722
"13001",13001,"PRT","Portugal","WIPO_07","IT methods for management",2018,2.7083
"13002",13002,"SVK","Slovak Republic","WIPO_07","IT methods for management",1999,0
"13003",13003,"SVK","Slovak Republic","WIPO_07","IT methods for management",2000,0
"13004",13004,"SVK","Slovak Republic","WIPO_07","IT methods for management",2001,0
"13005",13005,"SVK","Slovak Republic","WIPO_07","IT methods for management",2002,0
"13006",13006,"SVK","Slovak Republic","WIPO_07","IT methods for management",2003,0
"13007",13007,"SVK","Slovak Republic","WIPO_07","IT methods for management",2004,0
"13008",13008,"SVK","Slovak Republic","WIPO_07","IT methods for management",2005,0.25
"13009",13009,"SVK","Slovak Republic","WIPO_07","IT methods for management",2006,1
"13010",13010,"SVK","Slovak Republic","WIPO_07","IT methods for management",2007,1.1167
"13011",13011,"SVK","Slovak Republic","WIPO_07","IT methods for management",2008,2
"13012",13012,"SVK","Slovak Republic","WIPO_07","IT methods for management",2009,2.0417
"13013",13013,"SVK","Slovak Republic","WIPO_07","IT methods for management",2010,3.45
"13014",13014,"SVK","Slovak Republic","WIPO_07","IT methods for management",2011,1.25
"13015",13015,"SVK","Slovak Republic","WIPO_07","IT methods for management",2012,1.0833
"13016",13016,"SVK","Slovak Republic","WIPO_07","IT methods for management",2013,0.928
"13017",13017,"SVK","Slovak Republic","WIPO_07","IT methods for management",2014,0.1806
"13018",13018,"SVK","Slovak Republic","WIPO_07","IT methods for management",2015,1
"13019",13019,"SVK","Slovak Republic","WIPO_07","IT methods for management",2016,0.5619
"13020",13020,"SVK","Slovak Republic","WIPO_07","IT methods for management",2017,1.394
"13021",13021,"ESP","Spain","WIPO_07","IT methods for management",1999,0
"13022",13022,"ESP","Spain","WIPO_07","IT methods for management",2000,0.2
"13023",13023,"ESP","Spain","WIPO_07","IT methods for management",2001,6.6667
"13024",13024,"ESP","Spain","WIPO_07","IT methods for management",2002,4.7667
"13025",13025,"ESP","Spain","WIPO_07","IT methods for management",2003,2.1252
"13026",13026,"ESP","Spain","WIPO_07","IT methods for management",2004,4.7595
"13027",13027,"ESP","Spain","WIPO_07","IT methods for management",2005,6.4778
"13028",13028,"ESP","Spain","WIPO_07","IT methods for management",2006,7.6278
"13029",13029,"ESP","Spain","WIPO_07","IT methods for management",2007,6.6325
"13030",13030,"ESP","Spain","WIPO_07","IT methods for management",2008,12.8048
"13031",13031,"ESP","Spain","WIPO_07","IT methods for management",2009,14.3167
"13032",13032,"ESP","Spain","WIPO_07","IT methods for management",2010,24.468
"13033",13033,"ESP","Spain","WIPO_07","IT methods for management",2011,14.5483
"13034",13034,"ESP","Spain","WIPO_07","IT methods for management",2012,20.4002
"13035",13035,"ESP","Spain","WIPO_07","IT methods for management",2013,25.146
"13036",13036,"ESP","Spain","WIPO_07","IT methods for management",2014,20.7523
"13037",13037,"ESP","Spain","WIPO_07","IT methods for management",2015,17.9355
"13038",13038,"ESP","Spain","WIPO_07","IT methods for management",2016,16.6325
"13039",13039,"ESP","Spain","WIPO_07","IT methods for management",2017,9.0927
"13040",13040,"ESP","Spain","WIPO_07","IT methods for management",2018,8.2163
"13041",13041,"SWE","Sweden","WIPO_07","IT methods for management",1999,0
"13042",13042,"SWE","Sweden","WIPO_07","IT methods for management",2000,5.4788
"13043",13043,"SWE","Sweden","WIPO_07","IT methods for management",2001,15.477
"13044",13044,"SWE","Sweden","WIPO_07","IT methods for management",2002,19.1136
"13045",13045,"SWE","Sweden","WIPO_07","IT methods for management",2003,26.5156
"13046",13046,"SWE","Sweden","WIPO_07","IT methods for management",2004,21.1677
"13047",13047,"SWE","Sweden","WIPO_07","IT methods for management",2005,25.2835
"13048",13048,"SWE","Sweden","WIPO_07","IT methods for management",2006,19.4325
"13049",13049,"SWE","Sweden","WIPO_07","IT methods for management",2007,22.075
"13050",13050,"SWE","Sweden","WIPO_07","IT methods for management",2008,28.0929
"13051",13051,"SWE","Sweden","WIPO_07","IT methods for management",2009,27.3766
"13052",13052,"SWE","Sweden","WIPO_07","IT methods for management",2010,32.2096
"13053",13053,"SWE","Sweden","WIPO_07","IT methods for management",2011,32.1544
"13054",13054,"SWE","Sweden","WIPO_07","IT methods for management",2012,34.1941
"13055",13055,"SWE","Sweden","WIPO_07","IT methods for management",2013,32.3101
"13056",13056,"SWE","Sweden","WIPO_07","IT methods for management",2014,27.1613
"13057",13057,"SWE","Sweden","WIPO_07","IT methods for management",2015,21.58
"13058",13058,"SWE","Sweden","WIPO_07","IT methods for management",2016,24.0517
"13059",13059,"SWE","Sweden","WIPO_07","IT methods for management",2017,17.5467
"13060",13060,"SWE","Sweden","WIPO_07","IT methods for management",2018,17.676
"13061",13061,"CHE","Switzerland","WIPO_07","IT methods for management",1999,0
"13062",13062,"CHE","Switzerland","WIPO_07","IT methods for management",2000,1.1263
"13063",13063,"CHE","Switzerland","WIPO_07","IT methods for management",2001,31.3317
"13064",13064,"CHE","Switzerland","WIPO_07","IT methods for management",2002,22.4095
"13065",13065,"CHE","Switzerland","WIPO_07","IT methods for management",2003,25.3992
"13066",13066,"CHE","Switzerland","WIPO_07","IT methods for management",2004,26.5086
"13067",13067,"CHE","Switzerland","WIPO_07","IT methods for management",2005,27.7019
"13068",13068,"CHE","Switzerland","WIPO_07","IT methods for management",2006,13.8086
"13069",13069,"CHE","Switzerland","WIPO_07","IT methods for management",2007,24.739
"13070",13070,"CHE","Switzerland","WIPO_07","IT methods for management",2008,27.2577
"13071",13071,"CHE","Switzerland","WIPO_07","IT methods for management",2009,19.6097
"13072",13072,"CHE","Switzerland","WIPO_07","IT methods for management",2010,22.707
"13073",13073,"CHE","Switzerland","WIPO_07","IT methods for management",2011,29.0388
"13074",13074,"CHE","Switzerland","WIPO_07","IT methods for management",2012,47.1276
"13075",13075,"CHE","Switzerland","WIPO_07","IT methods for management",2013,65.0574
"13076",13076,"CHE","Switzerland","WIPO_07","IT methods for management",2014,44.8264
"13077",13077,"CHE","Switzerland","WIPO_07","IT methods for management",2015,32.9257
"13078",13078,"CHE","Switzerland","WIPO_07","IT methods for management",2016,33.4299
"13079",13079,"CHE","Switzerland","WIPO_07","IT methods for management",2017,30.8243
"13080",13080,"CHE","Switzerland","WIPO_07","IT methods for management",2018,18.0627
"13081",13081,"TUR","Turkey","WIPO_07","IT methods for management",1999,0
"13082",13082,"TUR","Turkey","WIPO_07","IT methods for management",2000,0
"13083",13083,"TUR","Turkey","WIPO_07","IT methods for management",2001,1
"13084",13084,"TUR","Turkey","WIPO_07","IT methods for management",2002,3
"13085",13085,"TUR","Turkey","WIPO_07","IT methods for management",2003,0.125
"13086",13086,"TUR","Turkey","WIPO_07","IT methods for management",2004,0
"13087",13087,"TUR","Turkey","WIPO_07","IT methods for management",2005,0.45
"13088",13088,"TUR","Turkey","WIPO_07","IT methods for management",2006,1.8333
"13089",13089,"TUR","Turkey","WIPO_07","IT methods for management",2007,0.25
"13090",13090,"TUR","Turkey","WIPO_07","IT methods for management",2008,1.5
"13091",13091,"TUR","Turkey","WIPO_07","IT methods for management",2009,0.325
"13092",13092,"TUR","Turkey","WIPO_07","IT methods for management",2010,0
"13093",13093,"TUR","Turkey","WIPO_07","IT methods for management",2011,1.25
"13094",13094,"TUR","Turkey","WIPO_07","IT methods for management",2012,6.3833
"13095",13095,"TUR","Turkey","WIPO_07","IT methods for management",2013,4.5087
"13096",13096,"TUR","Turkey","WIPO_07","IT methods for management",2014,7.8242
"13097",13097,"TUR","Turkey","WIPO_07","IT methods for management",2015,8.1179
"13098",13098,"TUR","Turkey","WIPO_07","IT methods for management",2016,4.3134
"13099",13099,"TUR","Turkey","WIPO_07","IT methods for management",2017,1.0761
"13100",13100,"TUR","Turkey","WIPO_07","IT methods for management",2018,2.0306
"13101",13101,"GBR","United Kingdom","WIPO_07","IT methods for management",1999,2.3083
"13102",13102,"GBR","United Kingdom","WIPO_07","IT methods for management",2000,9.2698
"13103",13103,"GBR","United Kingdom","WIPO_07","IT methods for management",2001,137.5656
"13104",13104,"GBR","United Kingdom","WIPO_07","IT methods for management",2002,136.4593
"13105",13105,"GBR","United Kingdom","WIPO_07","IT methods for management",2003,139.2768
"13106",13106,"GBR","United Kingdom","WIPO_07","IT methods for management",2004,141.7676
"13107",13107,"GBR","United Kingdom","WIPO_07","IT methods for management",2005,133.6732
"13108",13108,"GBR","United Kingdom","WIPO_07","IT methods for management",2006,122.8201
"13109",13109,"GBR","United Kingdom","WIPO_07","IT methods for management",2007,156.6008
"13110",13110,"GBR","United Kingdom","WIPO_07","IT methods for management",2008,140.9448
"13111",13111,"GBR","United Kingdom","WIPO_07","IT methods for management",2009,142.976
"13112",13112,"GBR","United Kingdom","WIPO_07","IT methods for management",2010,148.1297
"13113",13113,"GBR","United Kingdom","WIPO_07","IT methods for management",2011,161.2152
"13114",13114,"GBR","United Kingdom","WIPO_07","IT methods for management",2012,214.4365
"13115",13115,"GBR","United Kingdom","WIPO_07","IT methods for management",2013,264.1881
"13116",13116,"GBR","United Kingdom","WIPO_07","IT methods for management",2014,257.7495
"13117",13117,"GBR","United Kingdom","WIPO_07","IT methods for management",2015,202.184
"13118",13118,"GBR","United Kingdom","WIPO_07","IT methods for management",2016,176.0558
"13119",13119,"GBR","United Kingdom","WIPO_07","IT methods for management",2017,185.4506
"13120",13120,"GBR","United Kingdom","WIPO_07","IT methods for management",2018,123.0798
"13121",13121,"USA","United States","WIPO_07","IT methods for management",1999,148.8242
"13122",13122,"USA","United States","WIPO_07","IT methods for management",2000,650.3894
"13123",13123,"USA","United States","WIPO_07","IT methods for management",2001,4755.5419
"13124",13124,"USA","United States","WIPO_07","IT methods for management",2002,3448.1305
"13125",13125,"USA","United States","WIPO_07","IT methods for management",2003,3535.8596
"13126",13126,"USA","United States","WIPO_07","IT methods for management",2004,3302.7653
"13127",13127,"USA","United States","WIPO_07","IT methods for management",2005,3430.4873
"13128",13128,"USA","United States","WIPO_07","IT methods for management",2006,4110.3854
"13129",13129,"USA","United States","WIPO_07","IT methods for management",2007,5150.3731
"13130",13130,"USA","United States","WIPO_07","IT methods for management",2008,5038.7261
"13131",13131,"USA","United States","WIPO_07","IT methods for management",2009,4182.6235
"13132",13132,"USA","United States","WIPO_07","IT methods for management",2010,5056.5602
"13133",13133,"USA","United States","WIPO_07","IT methods for management",2011,6613.8436
"13134",13134,"USA","United States","WIPO_07","IT methods for management",2012,8101.6363
"13135",13135,"USA","United States","WIPO_07","IT methods for management",2013,9463.8857
"13136",13136,"USA","United States","WIPO_07","IT methods for management",2014,8589.3188
"13137",13137,"USA","United States","WIPO_07","IT methods for management",2015,6425.4521
"13138",13138,"USA","United States","WIPO_07","IT methods for management",2016,5170.447
"13139",13139,"USA","United States","WIPO_07","IT methods for management",2017,5527.8521
"13140",13140,"USA","United States","WIPO_07","IT methods for management",2018,4700.0865
"13141",13141,"AND","Andorra","WIPO_07","IT methods for management",1999,0
"13142",13142,"AND","Andorra","WIPO_07","IT methods for management",2000,0
"13143",13143,"AND","Andorra","WIPO_07","IT methods for management",2001,0
"13144",13144,"AND","Andorra","WIPO_07","IT methods for management",2002,0
"13145",13145,"AND","Andorra","WIPO_07","IT methods for management",2003,0
"13146",13146,"AND","Andorra","WIPO_07","IT methods for management",2004,0
"13147",13147,"AND","Andorra","WIPO_07","IT methods for management",2005,0.5
"13148",13148,"AND","Andorra","WIPO_07","IT methods for management",2006,0
"13149",13149,"AND","Andorra","WIPO_07","IT methods for management",2007,0.5
"13150",13150,"AND","Andorra","WIPO_07","IT methods for management",2008,0
"13151",13151,"AND","Andorra","WIPO_07","IT methods for management",2009,0
"13152",13152,"AND","Andorra","WIPO_07","IT methods for management",2010,0
"13153",13153,"AND","Andorra","WIPO_07","IT methods for management",2011,0
"13154",13154,"AND","Andorra","WIPO_07","IT methods for management",2012,0
"13155",13155,"AND","Andorra","WIPO_07","IT methods for management",2013,0
"13156",13156,"AND","Andorra","WIPO_07","IT methods for management",2014,0
"13157",13157,"AND","Andorra","WIPO_07","IT methods for management",2015,0
"13158",13158,"AND","Andorra","WIPO_07","IT methods for management",2016,0
"13159",13159,"AND","Andorra","WIPO_07","IT methods for management",2017,0
"13160",13160,"AND","Andorra","WIPO_07","IT methods for management",2018,0
"13161",13161,"ARG","Argentina","WIPO_07","IT methods for management",1999,0
"13162",13162,"ARG","Argentina","WIPO_07","IT methods for management",2000,0
"13163",13163,"ARG","Argentina","WIPO_07","IT methods for management",2001,3
"13164",13164,"ARG","Argentina","WIPO_07","IT methods for management",2002,1.8333
"13165",13165,"ARG","Argentina","WIPO_07","IT methods for management",2003,1.1667
"13166",13166,"ARG","Argentina","WIPO_07","IT methods for management",2004,2.7917
"13167",13167,"ARG","Argentina","WIPO_07","IT methods for management",2005,2.25
"13168",13168,"ARG","Argentina","WIPO_07","IT methods for management",2006,2.1
"13169",13169,"ARG","Argentina","WIPO_07","IT methods for management",2007,3.7833
"13170",13170,"ARG","Argentina","WIPO_07","IT methods for management",2008,2.8167
"13171",13171,"ARG","Argentina","WIPO_07","IT methods for management",2009,0.9015
"13172",13172,"ARG","Argentina","WIPO_07","IT methods for management",2010,0.625
"13173",13173,"ARG","Argentina","WIPO_07","IT methods for management",2011,3.9517
"13174",13174,"ARG","Argentina","WIPO_07","IT methods for management",2012,1.6628
"13175",13175,"ARG","Argentina","WIPO_07","IT methods for management",2013,3.1222
"13176",13176,"ARG","Argentina","WIPO_07","IT methods for management",2014,2.6333
"13177",13177,"ARG","Argentina","WIPO_07","IT methods for management",2015,2.1667
"13178",13178,"ARG","Argentina","WIPO_07","IT methods for management",2016,3.4
"13179",13179,"ARG","Argentina","WIPO_07","IT methods for management",2017,4.4329
"13180",13180,"ARG","Argentina","WIPO_07","IT methods for management",2018,4.2772
"13181",13181,"BLR","Belarus","WIPO_07","IT methods for management",1999,0
"13182",13182,"BLR","Belarus","WIPO_07","IT methods for management",2000,0
"13183",13183,"BLR","Belarus","WIPO_07","IT methods for management",2001,0
"13184",13184,"BLR","Belarus","WIPO_07","IT methods for management",2002,0
"13185",13185,"BLR","Belarus","WIPO_07","IT methods for management",2003,1
"13186",13186,"BLR","Belarus","WIPO_07","IT methods for management",2004,0
"13187",13187,"BLR","Belarus","WIPO_07","IT methods for management",2005,0
"13188",13188,"BLR","Belarus","WIPO_07","IT methods for management",2006,0
"13189",13189,"BLR","Belarus","WIPO_07","IT methods for management",2007,1
"13190",13190,"BLR","Belarus","WIPO_07","IT methods for management",2008,0
"13191",13191,"BLR","Belarus","WIPO_07","IT methods for management",2009,0
"13192",13192,"BLR","Belarus","WIPO_07","IT methods for management",2010,0
"13193",13193,"BLR","Belarus","WIPO_07","IT methods for management",2011,0
"13194",13194,"BLR","Belarus","WIPO_07","IT methods for management",2012,0.6
"13195",13195,"BLR","Belarus","WIPO_07","IT methods for management",2013,0.5
"13196",13196,"BLR","Belarus","WIPO_07","IT methods for management",2014,0.4
"13197",13197,"BLR","Belarus","WIPO_07","IT methods for management",2015,1.1111
"13198",13198,"BLR","Belarus","WIPO_07","IT methods for management",2016,1.875
"13199",13199,"BLR","Belarus","WIPO_07","IT methods for management",2017,0.1111
"13200",13200,"BLR","Belarus","WIPO_07","IT methods for management",2018,0
"13201",13201,"BMU","Bermuda","WIPO_07","IT methods for management",1999,0
"13202",13202,"BMU","Bermuda","WIPO_07","IT methods for management",2000,0
"13203",13203,"BMU","Bermuda","WIPO_07","IT methods for management",2001,3.5833
"13204",13204,"BMU","Bermuda","WIPO_07","IT methods for management",2002,0
"13205",13205,"BMU","Bermuda","WIPO_07","IT methods for management",2003,0.5833
"13206",13206,"BMU","Bermuda","WIPO_07","IT methods for management",2004,1
"13207",13207,"BMU","Bermuda","WIPO_07","IT methods for management",2005,2.3333
"13208",13208,"BMU","Bermuda","WIPO_07","IT methods for management",2006,0.3333
"13209",13209,"BMU","Bermuda","WIPO_07","IT methods for management",2007,1.3333
"13210",13210,"BMU","Bermuda","WIPO_07","IT methods for management",2008,0
"13211",13211,"BMU","Bermuda","WIPO_07","IT methods for management",2009,0.3333
"13212",13212,"BMU","Bermuda","WIPO_07","IT methods for management",2010,0.5
"13213",13213,"BMU","Bermuda","WIPO_07","IT methods for management",2011,3.3333
"13214",13214,"BMU","Bermuda","WIPO_07","IT methods for management",2012,0
"13215",13215,"BMU","Bermuda","WIPO_07","IT methods for management",2013,0.4286
"13216",13216,"BMU","Bermuda","WIPO_07","IT methods for management",2014,0
"13217",13217,"BMU","Bermuda","WIPO_07","IT methods for management",2015,1.8333
"13218",13218,"BMU","Bermuda","WIPO_07","IT methods for management",2016,1.0222
"13219",13219,"BMU","Bermuda","WIPO_07","IT methods for management",2017,0.8
"13220",13220,"BMU","Bermuda","WIPO_07","IT methods for management",2018,0
"13221",13221,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",1999,0
"13222",13222,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2000,0
"13223",13223,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2001,0
"13224",13224,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2002,0
"13225",13225,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2003,0
"13226",13226,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2004,0
"13227",13227,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2005,0
"13228",13228,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2006,0
"13229",13229,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2007,0
"13230",13230,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2008,0
"13231",13231,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2009,0
"13232",13232,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2010,0
"13233",13233,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2011,0
"13234",13234,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2012,0.5
"13235",13235,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2013,0.1429
"13236",13236,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2014,0.1429
"13237",13237,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2015,0.1667
"13238",13238,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2016,0
"13239",13239,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2017,0
"13240",13240,"BIH","Bosnia and Herzegovina","WIPO_07","IT methods for management",2018,0
"13241",13241,"BRA","Brazil","WIPO_07","IT methods for management",1999,0
"13242",13242,"BRA","Brazil","WIPO_07","IT methods for management",2000,2.3333
"13243",13243,"BRA","Brazil","WIPO_07","IT methods for management",2001,3.049
